Country,Operator,Network Code,Display Text
Albania,AMC Mobil,276-01,AMC-AL
Albania,Vodafone Albania,276-02,VODA AL
Algeria,Orascom,603-02,Djezzy
Andorra,STA Mobiland,213-03,M-AND
Antigua & Barbuda,PAUA PCS,344-03,APUA PCS
Antigua & Barbuda,Antigua Wireless,344-93,AT&T
Argentina,Telefonica (UNIFON),722-07,UNIFON
Argentina,Telecom Personal,722-34,AR TP
Armenia,ArmenTel,283-01,ARM01
Aruba,NMTS (Digicel),,Digicel
Australia,Telstra MobileNet,505-01,Telstra
Australia,Singtel Optus Ltd,505-02,YES OPTUS AUS
Australia,Vodafone,505-03,VFONE AUS
Austria,Mobilkom Austria,232-01,A1
Austria,One GMBH,232-05,ONE
Austria,T-Mobile Austria,232-03,T-Mobile
Austria,Tele ring,232-07,TELERING
Azerbaijan,Bakcell GSM 2000,400-02,AZE BKCEL
Azerbaijan,Azercell GSM,400-01,AZE ACEL
Bahrain,Batelco,426-01,BHR Mplus
Bahrain,MTC Vodafone Bahrain,426-02,MTC-VFBH
Bangladesh,Grameen Phone,470-01,BGD-GP
Barbados,AT&T,342-810,AT&T
Barbados,Digicel,342-05,Digicel
Belgium,Base,206-20,BASE
Belgium,Belgacom Mobile / Proximus,206-01,BEL-PROXI
Belgium,Mobistar,206-10,Mobi*
Belize,Belize Telecommunication,702-67,BTL
Belorus,JLLC Mobile TeleSystems (MTS),257-02,MTS
Belorus,Mobile Digital Comm (Velcom),257-01,VELCOM
Benin,Spacetel,616-03,BENCELL
Bermuda,Mobility Ltd,350-02,MOBILITY
Bermuda,Telecom Bermuda / AT&T,350-01,AT&T
Bolivia,Entel,736-02,BOMOV
Bolivia,Nuevatel,736-01,NUEVATEL
Bosnia-Herzegovina,Eronet Mobile Communications,218-03,ERONET
Bosnia-Herzegovina,BH Telecom Sarajevo,218-90,GSMBIH
Bosnia-Herzegovina,Mobilna Srpske,218-05,GSM-MS1
Botswana,Orange Botswana,652-02,VISTA
Botswana,Mascom Wireless,652-01,MASCOM
Brazil,TIM Brazil,"724-02,-03,-04",TIM BRASIL
Brazil,TNL PCS,724-31,Oi
Brunei,DST Communications,528-11,BRU DSTCom
Bulgaria,Cosmo Bulgaria (GLOBUL),284-05,GLOBUL
Bulgaria,MobiTEL AD,284-01,M-TEL BG
Burkina Faso,Celtel,613-02,BF CELTEL
Cambodia,Cambodia Samart Comm,456-02,KHM-SM
Cambodia,Cambodia Shinawatra,456-18,CAMSHIN
Cambodia,CamGSM (Mobitel),456-01,MT-KHM
Cameroon,MTN Cameroon,624-01,MTN-CAM
Cameroon,Orange Cameroon,624-02,Orange-CAM
Canada,Microcell Telcommunications,302-37,CAN FIDO
Canada,Rogers Wireless,302-72,CAN ROGERS
Cayman Islands,AT&T,,AT&T
Cayman Islands,Cable & Wireless,346-140,C&W
Cayman Islands,Digicel,,Digicel
Chad,Celtel,622-01,CELTEL TCD
Chile,Entel,730-01,CL ENTEL
China,(China Mobile)*,460-00,CHINA MOBILE
China,China Unicom,460-01,CHN CU-GSM
Colombia,Colombia Movil,732-111,COL MOVIL
Congo,Celtel,629-01,CELTEL
"Congo, Democratic Republic",Vodacom,630-01,VODACOM
Costa Rica,I.C.E.,712-01,I.C.E.
Cote d’Ivoire,Orange,612-03,CI IVOIRIS
Cote d’Ivoire,Loteny Telecom,612-05,TELECEL-CI
Croatia,HT Mobile Communications,219-01,"Htmobile, CRONET"
Croatia,VIPnet d.o.o.,219-10,HR VIP
Cuba,C-Com,368-01,CU C-COM
Cyprus,CYTAGSM,280-01,CY-GSM
Czech Republic,Cesky Mobil (Oskar),230-03,OSKAR
Czech Republic,Eurotel Praha,230-02,ET – CZ
Czech Republic,T-Mobile Czech Republic,230-01,TMO CZ
Denmark,Hi3G Denmark,238-06,3 DK
Denmark,TDC Mobil,238-01,TDC DK
Denmark,Telenor,238-02,TELENOR DK
Denmark,Telia Denmark,238-20,TELIA DK
Dominican Rebuplic,Orange Dominicana SA,370-01,ORANGE
Egypt,Vodafone Egypt,602-02,EGY Voda
Egypt,ECMS MobiNil,602-01,EGY MobiNil
Estonia,AS EMT,248-01,EE EMT
Estonia,Radiolinja Eesti,248-02,EE RLE
Estonia,Tele2 Eesti,248-03,TELE2
Ethiopia,ETMTN,636-01,ETH ETA
Faroe Islands,Faoese Telecom,288-01,FT-GSM
